Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2008-09-02,1.04762,1.08669,1.04762,1.08015
2008-09-03,1.08669,1.09969,1.07362,1.09969
2008-09-04,1.09969,1.10624,1.09332,1.09332
2008-09-05,1.08015,1.08669,1.08015,1.08669
2008-09-08,1.08015,1.18425,1.08015,1.18425
2008-09-09,1.17133,1.18425,1.15171,1.15171
2008-09-10,1.1257,1.13233,1.11917,1.11917
2008-09-11,1.1257,1.15825,1.10624,1.14533
2008-09-12,1.15171,1.15171,1.11279,1.1257
2008-09-15,1.11279,1.11917,1.08015,1.08669
2008-09-16,1.07362,1.08669,1.07362,1.07362
2008-09-17,1.06723,1.08669,1.06723,1.07362
2008-09-18,1.06069,1.08015,1.04115,1.08015
2008-09-19,1.09332,1.13233,1.08015,1.11917
2008-09-22,1.14533,1.14533,1.10624,1.1257
2008-09-23,1.10624,1.10624,1.09969,1.09969
2008-09-24,1.09969,1.13233,1.09969,1.10624
2008-09-25,1.10624,1.1387,1.09969,1.1257
2008-09-26,1.1257,1.13233,1.11917,1.13233
2008-09-29,1.1257,1.1257,1.06723,1.06723
2008-09-30,1.03461,1.08669,1.03461,1.08669
2008-10-01,1.09332,1.09969,1.06723,1.08015
2008-10-02,1.08015,1.08015,1.02822,1.02822
2008-10-03,1.06069,1.08669,1.04115,1.05415
2008-10-06,1.04115,1.04115,0.962971,0.962971
2008-10-07,0.969594,0.975981,0.962971,0.975981
2008-10-08,0.936969,0.975981,0.923968,0.936969
2008-10-09,0.923968,0.936969,0.923968,0.930429
2008-10-10,0.884965,0.917507,0.871958,0.878495
2008-10-13,0.911045,0.911045,0.878495,0.904505
2008-10-14,0.989142,0.989142,0.891505,0.891505
2008-10-15,0.904505,0.923968,0.891505,0.891505
2008-10-16,0.917507,0.917507,0.871958,0.891505
2008-10-17,0.923968,0.923968,0.800326,0.806867
2008-10-20,0.832872,0.884965,0.826488,0.871958
2008-10-21,0.871958,0.891505,0.871958,0.878495
2008-10-22,0.858876,0.858876,0.81979,0.81979
2008-10-23,0.806867,0.81979,0.774321,0.774321
2008-10-24,0.787323,0.787323,0.735234,0.754777
2008-10-27,0.741775,0.741775,0.702688,0.741775
2008-10-28,0.748316,0.774321,0.741775,0.741775
2008-10-29,0.780782,0.832872,0.780782,0.81979
2008-10-30,0.832872,0.858876,0.832872,0.839492
2008-10-31,0.865417,0.865417,0.839492,0.839492
2008-11-03,0.852415,0.858876,0.839492,0.839492
2008-11-04,0.845874,0.852415,0.839492,0.845874
2008-11-05,0.858876,0.858876,0.839492,0.839492
2008-11-06,0.832872,0.852415,0.832872,0.832872
2008-11-07,0.81979,0.845874,0.81979,0.839492
2008-11-10,0.845874,0.852415,0.839492,0.839492
2008-11-12,0.845874,0.845874,0.81979,0.826488
2008-11-13,0.81979,0.826488,0.767859,0.767859
2008-11-14,0.800326,0.800326,0.793863,0.793863
2008-11-17,0.800326,0.800326,0.793863,0.793863
