Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-08-13,1434.3034954555883,1434.3034954555883,1434.3034954555883,1434.3034954555883,0
2024-08-14,1462.284934062397,1462.284934062397,1462.284934062397,1462.284934062397,0
2024-08-16,1506.9352611324402,1506.9352611324402,1506.9352611324402,1506.9352611324402,0
2024-08-19,1518.625778273891,1518.625778273891,1518.625778273891,1518.625778273891,0
2024-08-20,1497.0328153922928,1497.0328153922928,1497.0328153922928,1497.0328153922928,0
2024-08-22,1505.4174516589208,1505.4174516589208,1505.4174516589208,1505.4174516589208,0
2024-08-23,1521.9060394208507,1521.9060394208507,1521.9060394208507,1521.9060394208507,0
2024-08-26,1511.486296677242,1511.486296677242,1511.486296677242,1511.486296677242,0
2024-08-27,1514.4663143618927,1514.4663143618927,1514.4663143618927,1514.4663143618927,0
2024-08-28,1519.3754719891374,1519.3754719891374,1519.3754719891374,1519.3754719891374,0
2024-08-29,1534.8970504726178,1534.8970504726178,1534.8970504726178,1534.8970504726178,0
2024-08-30,1547.4961477812715,1547.4961477812715,1547.4961477812715,1547.4961477812715,0
2024-09-02,1564.3001130567393,1564.3001130567393,1564.3001130567393,1564.3001130567393,0
2024-09-04,1525.3914071554807,1525.3914071554807,1525.3914071554807,1525.3914071554807,0
2024-09-05,1520.466485485902,1520.466485485902,1520.466485485902,1520.466485485902,0
2024-09-06,1472.707653251815,1472.707653251815,1472.707653251815,1472.707653251815,0
2024-09-09,1491.0120733685626,1491.0120733685626,1491.0120733685626,1491.0120733685626,0
2024-09-10,1462.3811116980967,1462.3811116980967,1462.3811116980967,1462.3811116980967,0
2024-09-11,1429.3597325909982,1429.3597325909982,1429.3597325909982,1429.3597325909982,0
2024-09-12,1468.8639627664743,1468.8639627664743,1468.8639627664743,1468.8639627664743,0
2024-09-13,1506.6868062974504,1506.6868062974504,1506.6868062974504,1506.6868062974504,0
2024-09-16,1484.4916204896826,1484.4916204896826,1484.4916204896826,1484.4916204896826,0
2024-09-17,1509.8786557756896,1509.8786557756896,1509.8786557756896,1509.8786557756896,0
2024-09-18,1518.90761806045,1518.90761806045,1518.90761806045,1518.90761806045,0
2024-09-19,1522.9786801549517,1522.9786801549517,1522.9786801549517,1522.9786801549517,0
2024-09-20,1509.0585009947008,1509.0585009947008,1509.0585009947008,1509.0585009947008,0
2024-09-23,1482.3745215643316,1482.3745215643316,1482.3745215643316,1482.3745215643316,0
2024-09-24,1510.5391321648967,1510.5391321648967,1510.5391321648967,1510.5391321648967,0
2024-09-25,1503.3735038584186,1503.3735038584186,1503.3735038584186,1503.3735038584186,0
2024-09-26,1529.8504545833712,1529.8504545833712,1529.8504545833712,1529.8504545833712,0
2024-09-27,1527.1061961376402,1527.1061961376402,1527.1061961376402,1527.1061961376402,0
2024-09-30,1493.2249197162653,1493.2249197162653,1493.2249197162653,1493.2249197162653,0
2024-10-01,1458.4194493042432,1458.4194493042432,1458.4194493042432,1458.4194493042432,0
2024-10-02,1459.2511444902775,1459.2511444902775,1459.2511444902775,1459.2511444902775,0
2024-10-03,1437.1581539167992,1437.1581539167992,1437.1581539167992,1437.1581539167992,0
2024-10-04,1439.0794181389317,1439.0794181389317,1439.0794181389317,1439.0794181389317,0
2024-10-07,1444.2929667997385,1444.2929667997385,1444.2929667997385,1444.2929667997385,0
2024-10-08,1457.0907014223694,1457.0907014223694,1457.0907014223694,1457.0907014223694,0
2024-10-09,1489.8844886160575,1489.8844886160575,1489.8844886160575,1489.8844886160575,0
2024-10-10,1490.0029273989587,1490.0029273989587,1490.0029273989587,1490.0029273989587,0
2024-10-11,1514.3176694008175,1514.3176694008175,1514.3176694008175,1514.3176694008175,0
2024-10-14,1520.9739316913362,1520.9739316913362,1520.9739316913362,1520.9739316913362,0
2024-10-15,1527.8997745470608,1527.8997745470608,1527.8997745470608,1527.8997745470608,0
2024-10-16,1529.4029296554233,1529.4029296554233,1529.4029296554233,1529.4029296554233,0
2024-10-17,1488.846067131347,1488.846067131347,1488.846067131347,1488.846067131347,0
2024-10-18,1511.701575454532,1511.701575454532,1511.701575454532,1511.701575454532,0
2024-10-21,1493.1244186442775,1493.1244186442775,1493.1244186442775,1493.1244186442775,0
2024-10-22,1464.1604795095313,1464.1604795095313,1464.1604795095313,1464.1604795095313,0
2024-10-23,1478.90962455581,1478.90962455581,1478.90962455581,1478.90962455581,0
2024-10-24,1470.6947323441648,1470.6947323441648,1470.6947323441648,1470.6947323441648,0
2024-10-25,1463.2508648223989,1463.2508648223989,1463.2508648223989,1463.2508648223989,0
2024-10-28,1455.3429431788088,1455.3429431788088,1455.3429431788088,1455.3429431788088,0
2024-10-29,1473.4547046593043,1473.4547046593043,1473.4547046593043,1473.4547046593043,0
2024-10-30,1449.2308297796085,1449.2308297796085,1449.2308297796085,1449.2308297796085,0
2024-10-31,1387.0242723803588,1387.0242723803588,1387.0242723803588,1387.0242723803588,0
2024-11-04,1416.9352865671772,1416.9352865671772,1416.9352865671772,1416.9352865671772,0
2024-11-05,1419.0008563304068,1419.0008563304068,1419.0008563304068,1419.0008563304068,0
2024-11-06,1408.5779162702938,1408.5779162702938,1408.5779162702938,1408.5779162702938,0
2024-11-07,1418.3732356420771,1418.3732356420771,1418.3732356420771,1418.3732356420771,0
2024-11-08,1402.1388497242517,1402.1388497242517,1402.1388497242517,1402.1388497242517,0
2024-11-12,1399.82790447298,1399.82790447298,1399.82790447298,1399.82790447298,0
2024-11-13,1375.5932487849293,1375.5932487849293,1375.5932487849293,1375.5932487849293,0
2024-11-14,1383.9582237240352,1383.9582237240352,1383.9582237240352,1383.9582237240352,0
2024-11-15,1363.5521504744258,1363.5521504744258,1363.5521504744258,1363.5521504744258,0
2024-11-18,1344.5564579846675,1344.5564579846675,1344.5564579846675,1344.5564579846675,0
2024-11-19,1306.0269552831246,1306.0269552831246,1306.0269552831246,1306.0269552831246,0
2024-11-20,1311.6996594571167,1311.6996594571167,1311.6996594571167,1311.6996594571167,0
2024-11-21,1319.8397733278687,1319.8397733278687,1319.8397733278687,1319.8397733278687,0
2024-11-22,1324.8539972537196,1324.8539972537196,1324.8539972537196,1324.8539972537196,0
2024-11-25,1314.2016342386687,1314.2016342386687,1314.2016342386687,1314.2016342386687,0
2024-11-26,1300.7534527307391,1300.7534527307391,1300.7534527307391,1300.7534527307391,0
2024-11-27,1293.6398198881175,1293.6398198881175,1293.6398198881175,1293.6398198881175,0
2024-11-28,1306.4723834466984,1306.4723834466984,1306.4723834466984,1306.4723834466984,0
2024-11-29,1301.9178112991146,1301.9178112991146,1301.9178112991146,1301.9178112991146,0
2024-12-02,1338.5291141918583,1338.5291141918583,1338.5291141918583,1338.5291141918583,0
2024-12-03,1331.3898600288944,1331.3898600288944,1331.3898600288944,1331.3898600288944,0
