,ret_wig20,ret_eurpln,ret_zmiennosc,diff_wibor_3m,diff_rentownosc_10y,d_pbv_pko,d_pbv_peo,d_pbv_san,d_pbv_ing,d_pbv_mbk,target_y
2015-02-20,0.000847549716507339,-0.004311074145099125,-0.3849320723578057,-0.07999999999999985,0.0,-0.013309342398734538,-0.004899952072188767,0.05957313947850857,-0.04620599138807042,0.0060173407518023,0
2015-02-27,0.007701414643818175,-0.004956699272506997,-0.0669020828628328,-0.050000000000000044,0.0,0.006676813360327333,-0.009812823635417002,-0.025138653524397394,0.0,0.04676238112323426,0
2015-03-06,-0.008983665446252469,-0.004302849415776769,0.30306179982685394,-0.16000000000000014,0.12945454499999975,0.03895807196679376,-0.0048948679672926815,0.0,-0.011838363652475963,-0.03489512941509009,1
2015-03-13,-0.018295619511285666,0.004519918263631792,0.12192922290997965,0.0,0.0,0.012658782864442482,0.014707691602709624,-0.008522663286153538,0.0178041106842822,-0.005885902878356481,1
2015-03-20,0.04428564271497603,-0.003212601949032543,0.20080572228908383,0.0,0.0,0.018705439451515433,0.009784228143534355,0.04199031206003321,0.0,0.04648989651376675,0
2015-03-27,-0.01444110704054977,-0.008381871450808374,0.029111541095840084,0.0,0.0,-0.06368976524434437,-0.029430962122363912,0.03218592357420119,-0.005965747031806259,-0.05247124534355431,1
2015-04-03,0.011508706091410569,-0.00864957673230317,-0.10378385594852399,0.0,0.04204545500000023,0.013071963962251177,0.0,0.023500792063776657,-0.011838363652475963,0.005981348829787767,1
2015-04-10,0.017741012387078932,-0.009420386396362172,-0.10792068179127334,0.0,0.0,0.0,0.014847719501680273,-0.023500792063776622,0.08046334582678057,0.040781032293446505,1
2015-04-17,0.008289265367684949,0.0005215512542319269,0.19634178474942277,0.0,0.0,0.05674221423295622,0.01458324262068352,-0.057210049944624974,0.010928106638128324,0.022585939647271285,1
2015-04-24,0.022171579031407217,0.002529386856650356,-0.059303373747422644,0.0,0.0,0.0,0.01442930545550459,-0.008443522403455922,-0.011307076248495274,0.02760218724700981,1
2015-05-01,-0.0018157153720087724,0.008729157366565604,0.04864555667883957,0.0,0.4524999999999997,0.0,-0.024213533599039026,-0.11675480694232858,0.005765744066938761,-0.07329600232115377,1
2015-05-08,0.012704140705239354,-0.006725074305754083,0.029599749225934766,0.010000000000000009,0.0,0.047947727522618,0.033691609023276566,0.0,0.04955581393849533,0.040137615271675045,0
2015-05-15,-0.012620632900193515,-0.0013851102882301207,-0.07325353990157833,0.010000000000000009,0.0,-0.09185724119790616,-0.02879165695108772,-0.009479655027025611,0.010701783287418005,-0.022771382412477476,0
2015-05-22,0.0007631767601519878,0.01656906546381116,-0.3089680229519699,0.010000000000000009,0.0,0.012800792027487946,0.0,0.009479655027025649,-0.021519334783486745,-0.0350393897257713,0
2015-05-29,-0.03187226470744754,0.000705742092736088,0.1253242532127263,0.0,0.0,-0.09281041016404311,-0.02454668605101827,-0.028916928052479595,0.0,-0.005981348829787712,0
2015-06-05,-0.03007686028473944,0.012114326093490847,0.031526324889690066,0.0,0.3700000000000001,-0.007002561037261816,-0.04579618221064383,0.009764686869923066,-0.06738531341732401,-0.042838934460770535,0
2015-06-12,-0.002899896408307044,-0.005446584053014765,0.1635702777037929,0.030000000000000027,0.0,0.01395642700603267,0.010293469811544996,-0.019523827760013712,0.022881306907958556,0.00624233560172206,0
2015-06-19,-0.025496864299283814,0.011078781472163367,0.09219943357109979,0.010000000000000009,0.0,-0.05680780012278265,-0.0016771322234652374,-0.010065861710245932,-0.07056268934326405,-0.05099889995311755,0
