Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2023-06-26,0.914796,0.939295,0.914796,0.939295
2023-06-27,0.939295,0.939295,0.914796,0.922968
2023-06-28,0.931131,0.939295,0.914796,0.922968
2023-06-29,0.931131,0.939295,0.931131,0.939295
2023-06-30,0.947464,0.947464,0.931131,0.939295
2023-07-03,0.939295,0.963801,0.939295,0.963801
2023-07-04,0.963801,0.963801,0.947464,0.947464
2023-07-05,0.947464,0.947464,0.939295,0.939295
2023-07-06,0.931131,0.939295,0.922968,0.931131
2023-07-07,0.931131,0.955642,0.931131,0.955642
2023-07-10,0.947464,0.955642,0.939295,0.955642
2023-07-11,0.963801,0.963801,0.947464,0.955642
2023-07-12,0.963801,1.00463,0.963801,1.00463
2023-07-13,1.00463,1.02097,0.996475,1.01281
2023-07-14,1.00463,1.02915,1.00463,1.01281
2023-07-17,1.01281,1.02097,1.00463,1.01281
2023-07-18,1.01281,1.03732,1.00463,1.03732
2023-07-19,1.03732,1.04549,1.03732,1.03732
2023-07-20,1.02915,1.03732,1.02915,1.02915
2023-07-21,1.02915,1.03732,1.02097,1.02915
2023-07-24,1.01281,1.03732,1.01281,1.03732
2023-07-25,1.03732,1.03732,1.02097,1.02915
2023-07-26,1.02915,1.02915,1.02097,1.02915
2023-07-27,1.02915,1.05364,1.02915,1.05364
2023-07-28,1.04549,1.05364,1.04549,1.05364
2023-07-31,1.05364,1.06182,1.05364,1.05364
2023-08-01,1.05364,1.05364,1.03732,1.04549
2023-08-02,1.03732,1.03732,1.02915,1.02915
2023-08-03,1.02097,1.03732,1.02097,1.03732
2023-08-04,1.03732,1.05364,1.03732,1.04876
2023-08-07,1.03895,1.0463,1.03241,1.03732
2023-08-08,1.03568,1.03568,1.01281,1.01935
2023-08-09,1.02343,1.03078,1.01771,1.01935
2023-08-10,1.01771,1.03649,1.01771,1.02833
2023-08-11,1.02262,1.02424,1.00873,1.01444
2023-08-14,1.00709,1.01935,1.00219,1.00383
2023-08-16,0.989942,1.00056,0.962988,0.965437
2023-08-17,0.962175,0.964614,0.945838,0.951558
2023-08-18,0.944205,0.958081,0.944205,0.956455
2023-08-21,0.956455,0.96625,0.955642,0.963801
2023-08-22,0.967885,0.969521,0.953194,0.95482
2023-08-23,0.955642,0.968708,0.950726,0.962988
2023-08-24,0.972792,0.979316,0.92787,0.92787
2023-08-25,0.921328,0.938484,0.919697,0.921328
2023-08-28,0.929492,0.942566,0.922148,0.941755
2023-08-29,0.944205,0.951558,0.936033,0.940115
2023-08-30,0.940935,0.9491,0.937673,0.944205
2023-08-31,0.944205,0.949922,0.924599,0.92705
2023-09-01,0.92541,0.942566,0.92378,0.939295
2023-09-04,0.936033,0.943386,0.928681,0.931131
2023-09-05,0.931131,0.937673,0.922148,0.922148
2023-09-06,0.920517,0.920517,0.852723,0.87723
2023-09-07,0.876408,0.882124,0.862524,0.874773
2023-09-08,0.879678,0.879678,0.863337,0.873138
2023-09-11,0.878042,0.881312,0.87069,0.872324
2023-09-12,0.871512,0.874773,0.862524,0.874773
2023-09-13,0.874773,0.880491,0.871512,0.87723
2023-09-14,0.881312,0.885395,0.873138,0.881312
2023-09-15,0.884575,0.890288,0.878856,0.882124
2023-09-18,0.878856,0.883764,0.858441,0.860888
2023-09-19,0.860076,0.874773,0.860076,0.872324
2023-09-20,0.87069,0.887025,0.868242,0.884575
2023-09-21,0.876408,0.880491,0.869055,0.875594
2023-09-22,0.86742,0.871512,0.856806,0.858441
2023-09-25,0.85517,0.860888,0.841287,0.841287
2023-09-26,0.839652,0.868242,0.83557,0.863337
2023-09-27,0.866606,0.866606,0.842921,0.843734
2023-09-28,0.841287,0.844556,0.833118,0.842921
2023-09-29,0.852723,0.86742,0.844556,0.86171
2023-10-02,0.858441,0.86171,0.838019,0.838019
2023-10-03,0.838019,0.849452,0.833935,0.840474
2023-10-04,0.83557,0.87723,0.831486,0.857619
2023-10-05,0.868242,0.868242,0.854358,0.863337
2023-10-06,0.865794,0.919697,0.865794,0.900911
2023-10-09,0.893558,0.922148,0.884575,0.910714
2023-10-10,0.919697,0.957268,0.919697,0.953194
2023-10-11,0.953997,0.980138,0.953997,0.975241
