Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2013-05-17,0.741353,0.754036,0.741353,0.741353
2013-05-20,0.74977,0.754036,0.741353,0.741353
2013-05-21,0.74977,0.74977,0.737083,0.737083
2013-05-22,0.745563,0.745563,0.728606,0.732876
2013-05-23,0.724399,0.741353,0.724399,0.741353
2013-05-24,0.741353,0.754036,0.741353,0.74977
2013-05-27,0.74977,0.766782,0.74977,0.766782
2013-05-28,0.76699,0.771531,0.76699,0.771531
2013-05-29,0.76699,0.771531,0.758108,0.76699
2013-05-31,0.753634,0.771531,0.753634,0.771531
2013-06-03,0.74977,0.762516,0.74977,0.758309
2013-06-04,0.758108,0.771531,0.758108,0.771531
2013-06-05,0.76699,0.780472,0.762575,0.762575
2013-06-06,0.762575,0.771531,0.762575,0.76699
2013-06-07,0.76699,0.78928,0.76699,0.775931
2013-06-10,0.787942,0.796422,0.783675,0.792148
2013-06-11,0.798228,0.798228,0.780472,0.78488
2013-06-12,0.78928,0.793821,0.775931,0.78488
2013-06-13,0.775931,0.780472,0.771531,0.771531
2013-06-14,0.775931,0.78488,0.775931,0.780472
2013-06-17,0.780472,0.78928,0.762575,0.775931
2013-06-18,0.775931,0.780472,0.775931,0.775931
2013-06-19,0.78928,0.78928,0.758108,0.758108
2013-06-20,0.758108,0.762575,0.73581,0.749226
2013-06-21,0.749226,0.753634,0.704571,0.749226
2013-06-24,0.717859,0.731405,0.713581,0.713581
2013-06-25,0.722398,0.731405,0.713581,0.713581
2013-06-26,0.700101,0.722398,0.691221,0.722398
2013-06-27,0.731405,0.731405,0.691221,0.700101
2013-06-28,0.700101,0.731405,0.695693,0.731405
2013-07-01,0.731405,0.731405,0.709113,0.713581
2013-07-02,0.717859,0.73581,0.713581,0.731405
2013-07-03,0.726867,0.731405,0.709113,0.709113
2013-07-04,0.709113,0.713581,0.700101,0.709113
2013-07-05,0.713581,0.717859,0.695693,0.700101
2013-07-08,0.700101,0.704571,0.686749,0.691221
2013-07-09,0.695693,0.695693,0.677805,0.691221
2013-07-10,0.691221,0.704571,0.691221,0.704571
2013-07-11,0.709113,0.726867,0.709113,0.726867
2013-07-12,0.722398,0.740215,0.717859,0.740215
2013-07-15,0.73581,0.753634,0.73581,0.753634
2013-07-16,0.753634,0.758108,0.749226,0.758108
2013-07-17,0.749226,0.771531,0.749226,0.758108
2013-07-18,0.753634,0.758108,0.753634,0.753634
2013-07-19,0.758108,0.775931,0.753634,0.775931
2013-07-22,0.775931,0.78488,0.775931,0.775931
2013-07-23,0.775931,0.793821,0.775931,0.78488
2013-07-24,0.78488,0.793821,0.78488,0.78928
2013-07-25,0.78928,0.78928,0.775931,0.780472
2013-07-26,0.78488,0.78928,0.771531,0.78488
2013-07-29,0.78488,0.78488,0.775931,0.780472
2013-07-30,0.780472,0.798228,0.780472,0.793821
2013-07-31,0.798228,0.811644,0.793821,0.798228
2013-08-01,0.802762,0.811644,0.802762,0.802762
2013-08-02,0.807169,0.811644,0.802762,0.802762
2013-08-05,0.811644,0.81605,0.802762,0.81605
2013-08-06,0.820584,0.820584,0.78488,0.793821
2013-08-07,0.793821,0.81605,0.78928,0.811644
2013-08-08,0.811644,0.887342,0.811644,0.887342
2013-08-09,0.891948,0.905229,0.87846,0.905229
2013-08-12,0.905229,0.936477,0.900822,0.927519
2013-08-13,0.927519,0.936477,0.923049,0.927519
2013-08-14,0.927519,0.949831,0.927519,0.945416
2013-08-16,0.945416,0.945416,0.936477,0.936477
2013-08-19,0.940947,0.940947,0.923049,0.923049
2013-08-20,0.914169,0.914169,0.905229,0.905229
2013-08-21,0.909704,0.918644,0.89629,0.89629
2013-08-22,0.89629,0.914169,0.89629,0.905229
2013-08-23,0.909704,0.914169,0.89629,0.914169
2013-08-26,0.918644,0.923049,0.914169,0.923049
2013-08-27,0.918644,0.918644,0.905229,0.905229
2013-08-28,0.905229,0.909704,0.905229,0.905229
2013-08-29,0.914169,0.914169,0.89629,0.900822
2013-08-30,0.905229,0.914169,0.887342,0.914169
2013-09-02,0.923049,0.927519,0.909704,0.909704
2013-09-03,0.909704,0.914169,0.900822,0.909704
2013-09-04,0.914169,0.923049,0.882935,0.882935
2013-09-05,0.860639,0.869587,0.824925,0.856239
2013-09-06,0.856239,0.860639,0.847292,0.860639
2013-09-09,0.865113,0.882935,0.856239,0.87846
2013-09-10,0.882935,0.887342,0.87846,0.887342
2013-09-11,0.891948,0.89629,0.874061,0.891948
2013-09-12,0.891948,0.909704,0.891948,0.909704
2013-09-13,0.909704,0.909704,0.89629,0.89629
2013-09-16,0.918644,0.918644,0.89629,0.900822
2013-09-17,0.900822,0.914169,0.900822,0.909704
2013-09-18,0.909704,0.918644,0.900822,0.914169
2013-09-19,0.927519,0.940947,0.918644,0.936477
2013-09-20,0.927519,0.940947,0.918644,0.927519
2013-09-23,0.936477,0.936477,0.909704,0.914169
2013-09-24,0.905229,0.918644,0.905229,0.909704
2013-09-25,0.909704,0.931989,0.909704,0.931989
2013-09-26,0.931989,0.95877,0.931989,0.954301
2013-09-27,0.95877,0.96324,0.949831,0.954301
2013-09-30,0.940947,0.949831,0.936477,0.936477
2013-10-01,0.931989,0.940947,0.927519,0.936477
2013-10-02,0.936477,0.949831,0.931989,0.945416
2013-10-03,0.949831,0.976658,0.945416,0.967646
2013-10-04,0.96324,0.972115,0.96324,0.96324
2013-10-07,0.954301,0.95877,0.949831,0.954301
2013-10-08,0.949831,0.95877,0.949831,0.949831
2013-10-09,0.954301,0.967646,0.949831,0.96324
2013-10-10,0.972115,1.00784,0.972115,0.998952
2013-10-11,1.01678,1.02565,1.00329,1.0123
2013-10-14,1.0123,1.03459,1.0123,1.03459
2013-10-15,1.04802,1.04802,1.00784,1.00784
2013-10-16,1.0123,1.02565,1.00784,1.00784
2013-10-17,1.01678,1.03012,1.0123,1.0123
2013-10-18,1.02118,1.0434,0.994473,1.03012
2013-10-21,1.03012,1.05688,1.03012,1.05688
2013-10-22,1.0613,1.0613,1.03012,1.03012
2013-10-23,1.02118,1.03012,0.998952,0.998952
2013-10-24,1.0123,1.02565,1.00784,1.02118
2013-10-25,1.02118,1.02118,1.00784,1.00784
2013-10-28,1.03012,1.03459,1.02118,1.02565
2013-10-29,1.03012,1.05236,1.03012,1.0434
2013-10-30,1.0434,1.07925,1.03012,1.03012
2013-10-31,1.02565,1.03012,1.0123,1.0123
2013-11-04,1.02565,1.02565,1.00784,1.0123
2013-11-05,1.01678,1.02118,0.998952,0.998952
2013-11-06,1.0123,1.02565,1.00784,1.02118
2013-11-07,1.00784,1.03907,1.00784,1.02118
2013-11-08,1.00784,1.02118,0.998952,1.00784
2013-11-12,1.01678,1.02118,1.00329,1.00329
2013-11-13,0.998952,1.00329,0.972115,0.972115
2013-11-14,0.994473,0.994473,0.954301,0.954301
2013-11-15,0.96324,0.972115,0.95877,0.967646
2013-11-18,0.972115,0.990013,0.95877,0.981064
2013-11-19,0.985525,0.990013,0.967646,0.972115
2013-11-20,0.972115,0.972115,0.96324,0.967646
2013-11-21,0.96324,0.976658,0.95877,0.976658
2013-11-22,0.972115,0.981064,0.972115,0.976658
2013-11-25,0.976658,0.985525,0.972115,0.972115
2013-11-26,0.967646,0.967646,0.945416,0.954301
2013-11-27,0.949831,0.95877,0.949831,0.95877
2013-11-28,0.95877,0.96324,0.945416,0.954301
2013-11-29,0.954301,0.96324,0.954301,0.95877
2013-12-02,0.954301,0.967646,0.931989,0.931989
2013-12-03,0.931989,0.936477,0.927519,0.931989
2013-12-04,0.931989,0.949831,0.923049,0.931989
2013-12-05,0.931989,0.936477,0.914169,0.918644
2013-12-06,0.927519,0.936477,0.923049,0.931989
2013-12-09,0.940947,0.945416,0.927519,0.927519
2013-12-10,0.931989,0.931989,0.914169,0.918644
2013-12-11,0.931989,0.940947,0.923049,0.936477
2013-12-12,0.927519,0.931989,0.914169,0.923049
2013-12-13,0.931989,0.931989,0.900822,0.905229
2013-12-16,0.905229,0.914169,0.905229,0.905229
2013-12-17,0.909704,0.923049,0.905229,0.905229
2013-12-18,0.905229,0.923049,0.891948,0.900822
2013-12-19,0.909704,0.927519,0.89629,0.89629
2013-12-20,0.909704,0.918644,0.905229,0.905229
2013-12-23,0.918644,0.918644,0.905229,0.909704
2013-12-27,0.914169,0.914169,0.905229,0.914169
2013-12-30,0.927519,0.927519,0.909704,0.914169
2014-01-02,0.923049,0.927519,0.914169,0.918644
2014-01-03,0.909704,0.914169,0.905229,0.905229
2014-01-07,0.891948,0.891948,0.874061,0.87846
2014-01-08,0.87846,0.914169,0.874061,0.909704
2014-01-09,0.909704,0.909704,0.87846,0.87846
2014-01-10,0.87846,0.900822,0.87846,0.87846
2014-01-13,0.900822,0.914169,0.900822,0.914169
2014-01-14,0.909704,0.936477,0.900822,0.909704
2014-01-15,0.931989,0.940947,0.931989,0.931989
2014-01-16,0.940947,0.940947,0.923049,0.923049
2014-01-17,0.923049,0.923049,0.909704,0.914169
2014-01-20,0.909704,0.923049,0.909704,0.914169
2014-01-21,0.918644,0.949831,0.918644,0.945416
2014-01-22,0.954301,0.967646,0.940947,0.954301
2014-01-23,0.95877,0.981064,0.945416,0.945416
2014-01-24,0.945416,0.949831,0.918644,0.918644
2014-01-27,0.918644,0.931989,0.89629,0.918644
2014-01-28,0.909704,0.914169,0.900822,0.909704
2014-01-29,0.927519,0.931989,0.900822,0.905229
2014-01-30,0.900822,0.931989,0.89629,0.931989
2014-01-31,0.931989,0.949831,0.918644,0.940947
2014-02-03,0.945416,0.949831,0.927519,0.936477
2014-02-04,0.918644,0.940947,0.918644,0.931989
2014-02-05,0.927519,0.940947,0.923049,0.923049
2014-02-06,0.936477,0.954301,0.927519,0.954301
2014-02-07,0.949831,0.954301,0.945416,0.945416
2014-02-10,0.949831,0.949831,0.940947,0.945416
2014-02-11,0.940947,0.967646,0.940947,0.967646
2014-02-12,0.972115,0.976658,0.967646,0.976658
2014-02-13,0.967646,0.990013,0.967646,0.985525
2014-02-14,0.985525,0.998952,0.981064,0.985525
2014-02-17,0.998952,0.998952,0.954301,0.95877
2014-02-18,0.967646,0.967646,0.949831,0.954301
2014-02-19,0.96324,0.985525,0.95877,0.981064
2014-02-20,0.976658,0.976658,0.95877,0.96324
2014-02-21,0.972115,0.976658,0.96324,0.972115
2014-02-24,0.972115,1.00329,0.972115,0.990013
2014-02-25,0.990013,0.994473,0.985525,0.985525
2014-02-26,0.990013,0.990013,0.972115,0.981064
2014-02-27,0.972115,0.976658,0.967646,0.967646
2014-02-28,0.972115,0.985525,0.967646,0.981064
2014-03-03,0.954301,0.967646,0.918644,0.918644
2014-03-04,0.940947,0.945416,0.918644,0.936477
2014-03-05,0.936477,0.949831,0.931989,0.940947
2014-03-06,0.945416,0.96324,0.936477,0.945416
2014-03-07,0.949831,0.954301,0.931989,0.936477
2014-03-10,0.931989,0.945416,0.931989,0.931989
2014-03-11,0.940947,0.945416,0.927519,0.945416
2014-03-12,0.940947,0.940947,0.905229,0.905229
2014-03-13,0.909704,0.909704,0.891948,0.891948
2014-03-14,0.874061,0.914169,0.874061,0.914169
2014-03-17,0.909704,0.931989,0.909704,0.931989
2014-03-18,0.918644,0.931989,0.914169,0.914169
2014-03-19,0.923049,0.931989,0.914169,0.927519
2014-03-20,0.923049,0.940947,0.923049,0.931989
2014-03-21,0.940947,0.945416,0.918644,0.918644
2014-03-24,0.918644,0.927519,0.914169,0.914169
